物品ID
212430000;分賽區冠軍獎勵
212430001;分賽區亞軍獎勵
212430002;分賽區季軍獎勵
212430003;分賽區獎勵
212430004;分賽區獎勵
212430005;分賽區獎勵
212430006;天上天下唯我獨尊
212430007;一人之下萬人之上
212430008;三甲的至高榮譽
212430009;夢誅強者的證明
212430010;漫長的磨練之路
212430011;分賽區殿軍獎勵
212430012;殿軍的嘉獎
215800000;靈竅丹
215800001;七竅玲瓏丹
215800002;五仁月餅
215800003;蛋黃月餅
215800004;豆沙月餅
215700000;FALSE	成長快樂	
215700001;FALSE	大瓶成長快樂	
212300000;經驗靈
212300001;經驗靈(專)
212300002;大經驗靈
212300100;碧落淚
212300101;骨肉相連
212300102;竹林深處
212300200;感恩節火雞
212300300;精緻菜肴
212300301;豪華菜肴
212300302;皇家菜肴
212300303;帝王菜肴
212300304;蒸南瓜
212300305;南瓜粥
212300306;南瓜雞蛋羹
212300307;南瓜飯
216200000;子女男
216900000;轮回石
210101301;上古封印
210140450;女娲石
212400429;3288元宝
210100024;启灵珠 
210100102;洗魂珠 
210100017;返生丹 
210100020;化生丹 
210100100;锁魂珠 
211700000;阵法书碎片  
230000000;一级项圈 
230000001;二级项圈 
230000004;一级头盔 
230000005;二级头盔 
230000008;一级护符 
230000009;二级护符 
211600000;一级护符洗炼 
211600001;二级护符洗炼 
214000000;钱袋子  
213502000;封印命中龙晶 
213503000;最大血量龙晶 
213504000;物防龙晶 
213505000;物抗龙晶 
213506000;物暴龙晶 
213507000;法暴龙晶 
213508000;封抗龙晶 
213509000;法防龙晶 
213510000;法抗龙晶 
213511000;最大法力龙晶 
213512000;速度龙晶  
210140400;阴阳仙书 
216400000;地元石 
216400002;天元石 
210101073;元神精魄 
 
213500000;1级天枢龙晶 
213501000;1级天璇龙晶 
213502000;1级天玑龙晶 
213503000;1级天枪龙晶 
213504000;1级天权龙晶 
213505000;1级开衡龙晶 
221500000;1级虎眼灵石 
221500015;1级蓝玉灵石 
221500030;1级天地灵石 
221500045;1级寿山灵石 
221500060;1级紫耀灵石 
221500075;1级泰山灵石 
221500090;1级熔岩灵石 
221500105;1级火魂灵石 
221500120;1级海蓝灵石 
